tax_id	taxonomy	type	name	kingdom
2497570.0	root|Viruses|Riboviria|Negarnaviricota|Haploviricotina	subphylum	Haploviricotina	Viruses
2497571.0	root|Viruses|Riboviria|Negarnaviricota|Polyploviricotina	subphylum	Polyploviricotina	Viruses
451828.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Kickxellomycotina	subphylum	Kickxellomycotina	Fungi
1137986.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mortierellomycotina	subphylum	Mortierellomycotina	Fungi
2202806.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Olpidiomycota|Olpidiomycotina	subphylum	Olpidiomycotina	Fungi
451827.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Zoopagomycotina	subphylum	Zoopagomycotina	Fungi
2204096.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Wallemiomycotina	subphylum	Wallemiomycotina	Fungi
28221.0	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions|Deltaproteobacteria	class	Deltaproteobacteria	Bacteria
1236.0	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria	class	Gammaproteobacteria	Bacteria
28211.0	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria	class	Alphaproteobacteria	Bacteria
29547.0	root|cellular_organisms|Bacteria|Proteobacteria|delta/epsilon_subdivisions|Epsilonproteobacteria	class	Epsilonproteobacteria	Bacteria
117743.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Flavobacteriia	class	Flavobacteriia	Bacteria
188787.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Deinococcus-Thermus|Deinococci	class	Deinococci	Bacteria
